trial,accuracy,inference_ms,n_parameters,n_conv_layers,channels_0,channels_1,learning_rate,batch_size,n_epochs,dropout_rate,optimizer_type,input_resolution,channels_2,channels_3
20,0.8901,0.5400522844865918,886730,1,48,,0.0031284311157851784,256,8,0.06379015139778188,RMSprop,24,,
21,0.8656,0.7999674999155104,1051530,1,128,,0.00033122322840389184,32,15,0.05601945108402617,SGD,16,,
22,0.8923,0.6444298895075917,84842,4,64,96.0,0.011079193990007919,32,7,0.4647645721239129,SGD,20,16.0,48.0
23,0.9003,0.8169261971488595,112874,3,32,128.0,0.017491543744348647,128,10,0.45323605548227347,RMSprop,28,32.0,
24,0.8031,0.7579864235594869,95930,3,32,96.0,0.0002816775807513468,64,12,0.2713622216737981,SGD,16,48.0,
25,0.8466,0.907504407223314,83306,4,128,16.0,0.04070887363880805,64,7,0.4014267242990057,RMSprop,20,96.0,48.0
26,0.753,1.4031784259714186,109178,3,128,32.0,0.09786395331218446,256,5,0.4490271447203569,Adam,28,48.0,
27,0.8847,0.7011886104010046,86250,2,64,32.0,0.00011916783985028135,64,5,0.1155373982940357,Adam,16,,
28,0.78,0.42437248630449176,395210,1,48,,0.00041205281577215555,64,5,0.013266101936909858,SGD,16,,
29,0.7675,0.5728601012378931,81450,2,48,32.0,0.04826770843549192,32,10,0.31673910991307364,RMSprop,16,,
30,0.8792,0.5379914888180792,132682,1,16,,0.030847886273764172,256,14,0.29870655108515415,SGD,16,,
31,0.9091,0.47839259495958686,591626,1,32,,0.0007346512304318004,64,9,0.33183558268132407,Adam,24,,
32,0.8949,0.5740986089222133,350954,2,48,96.0,0.012136386887218596,64,14,0.0684093154594807,Adam,20,,
33,0.1,0.6214190041646361,187706,3,128,16.0,0.06804550904198496,64,13,0.01850381735774631,Adam,28,128.0,
34,0.8981,0.5979560897685587,1641354,1,128,,0.007040274045310667,128,14,0.264468567013606,RMSprop,20,,
35,0.8521,0.5431252066046,61226,3,32,48.0,0.00045160803844806026,32,14,0.47236601114570514,SGD,16,48.0,
36,0.8957,0.6142938742414117,364170,3,128,128.0,0.0004713263449833794,128,4,0.4387304313151902,RMSprop,16,128.0,
37,0.9243,0.7026691106148064,182714,3,96,96.0,0.000632535362979874,32,14,0.3541814883575174,Adam,28,48.0,
38,0.9096,0.8547325967811048,33370,4,32,32.0,0.06252940793270145,64,6,0.3540860443226408,SGD,28,16.0,64.0
39,0.8987,0.6985306390561163,199466,4,48,128.0,0.0019815471157701753,32,6,0.4919888239799141,SGD,24,64.0,96.0
40,0.8312,1.099750178400427,116234,4,32,128.0,0.024698882377426283,64,8,0.23996941735856175,RMSprop,16,32.0,96.0
41,0.8796,0.5221040803007782,591626,1,32,,0.004774699570297263,128,7,0.016601554395683282,SGD,24,,
42,0.8716,0.7881246972829103,789002,1,96,,0.004206191156087537,64,7,0.4074125568732561,SGD,16,,
43,0.8405,0.5891130887903273,99578,3,96,16.0,0.0003968508846741037,32,9,0.43413625270419026,SGD,24,64.0,
44,0.8992,1.6308122896589339,164298,4,128,64.0,0.04094960376542717,256,5,0.19554076832588035,Adam,28,96.0,32.0
45,0.9159,1.4813108136877418,478282,2,128,64.0,0.0001288291913588702,256,13,0.2926771821983761,Adam,28,,
46,0.8248,0.42034380603581667,395210,1,48,,0.00027863110859382685,32,11,0.43395914726001106,SGD,16,,
47,0.9042,0.5469966912642121,220266,3,48,96.0,0.01171062982563318,32,11,0.05329651515399536,SGD,16,128.0,
48,0.9074,0.6823575822636485,125162,3,32,64.0,0.0022186094978467927,64,10,0.3341063992775081,Adam,16,96.0,
49,0.911,0.6126320222392678,279578,2,128,48.0,0.00875838722895397,128,15,0.1758113436198172,SGD,24,,
50,0.7992,0.7513768272474408,105290,4,32,48.0,0.06252940793270145,64,10,0.3540860443226408,RMSprop,28,96.0,48.0
51,0.7382,0.42954219970852137,395210,1,48,,0.00013497010898410317,64,5,0.3478743444923086,SGD,16,,
52,0.7693,0.4475196823477745,395210,1,48,,0.00021557204762564085,32,4,0.43395914726001106,SGD,16,,
53,0.8647,0.6239652400836349,136506,4,128,96.0,0.03864480553672628,32,12,0.2713622216737981,Adam,16,16.0,32.0
54,0.8986,0.523414509370923,42218,3,128,16.0,0.0007644457600399744,64,4,0.4680773870803905,Adam,28,16.0,
55,0.8909,0.4744833102449775,2362250,1,128,,0.00875838722895397,64,9,0.33183558268132407,Adam,24,,
56,0.9092,0.46434146352112293,666122,2,64,128.0,0.00011916783985028135,32,6,0.1155373982940357,Adam,24,,
57,0.8693,0.5997962551191449,245450,4,32,128.0,0.06252940793270145,64,7,0.05793452976256486,Adam,28,96.0,96.0
58,0.8852,0.5893130088225007,190730,4,96,128.0,0.01735698209081424,32,14,0.19965795790465407,RMSprop,20,32.0,96.0
59,0.8748,0.4273052792996168,86250,2,64,32.0,0.011079193990007919,32,7,0.4647645721239129,Adam,16,,
